RestaurantID,Restaurant_Name,CountryCode,City,Longitude,Latitude,Cuisines,Currency,Has_Table_booking,Has_Online_delivery,Is_delivering_now,Switch_to_order_menu,Price_range,Votes,Average_Cost_for_two,Rating,rating_bucket,Date,USD_Rate,Country_name,Year,Month,Month_Name,Quarter,WeekNO,Week_Name,Financial_Month,Financial_Qt,USD_SALES_Cost,Indian_RupeesCost
18435314,unjabis eg rill,1,New Delhi,77.2767689,28.6507753,North Indian,Indian Rupees(Rs.),No,No,No,No,1,0,300,1,0-1,2013-09-21,0.012,India,2013,9,Sep,Q3,6,Saturday,6,2,3.6,299.7
18378015,asty andoor,1,New Delhi,77.27505159,28.65821556,North Indian,Indian Rupees(Rs.),No,No,No,No,1,0,200,1,0-1,2016-09-10,0.012,India,2016,9,Sep,Q3,6,Saturday,6,2,2.4,199.8
18424905,aste of pice,1,New Delhi,77.2413122,28.5783107,North Indian,Indian Rupees(Rs.),No,Yes,No,No,1,0,400,1,0-1,2018-09-25,0.012,India,2018,9,Sep,Q3,2,Tuesday,6,2,4.8,399.6
18180072,olcata Bengali haba,1,New Delhi,77.1239323,28.5435869,North Indian,Indian Rupees(Rs.),No,No,No,No,1,0,100,1,0-1,2018-09-06,0.012,India,2018,9,Sep,Q3,4,Thursday,6,2,1.2,99.9
18415377,unil unjabi haba,1,New Delhi,77.1297061,28.5413686,North Indian,Indian Rupees(Rs.),No,No,No,No,1,0,150,1,0-1,2013-09-17,0.012,India,2013,9,Sep,Q3,2,Tuesday,6,2,1.8,149.85
18421485,Bikaner estaurant,1,New Delhi,77.2081351,28.699566,North Indian,Indian Rupees(Rs.),No,No,No,No,1,0,100,1,0-1,2018-09-03,0.012,India,2018,9,Sep,Q3,1,Monday,6,2,1.2,99.9
312413,ust n,1,New Delhi,77.2190942,28.7094798,North Indian,Indian Rupees(Rs.),No,No,No,No,1,0,200,1,0-1,2011-09-16,0.012,India,2011,9,Sep,Q3,5,Friday,6,2,2.4,199.8
303497,hri hyam i hudh hakahari Bhojnalaya,1,New Delhi,76.9748922,28.6112536,North Indian,Indian Rupees(Rs.),No,No,No,No,1,0,150,1,0-1,2014-09-21,0.012,India,2014,9,Sep,Q3,7,Sunday,6,2,1.8,149.85
18354644,hree Bhojnalaya,1,New Delhi,77.27276199,28.56077074,North Indian,Indian Rupees(Rs.),No,No,No,No,1,0,100,1,0-1,2012-09-09,0.012,India,2012,9,Sep,Q3,7,Sunday,6,2,1.2,99.9
18366001,Baba a haba,1,New Delhi,77.0902799,28.5828978,North Indian,Indian Rupees(Rs.),No,No,No,No,1,0,200,1,0-1,2014-09-21,0.012,India,2014,9,Sep,Q3,7,Sunday,6,2,2.4,199.8
